"registry__name","label","reference"
"application","vnd.adobe.xfdf","[Roberto_Perelman]"
"application","vnd.aether.imp","[Jay_Moskowitz]"
"application","vnd.ah-barcode","[Katsuhiko_Ichinose]"
"application","vnd.ahead.space","[Tor_Kristensen]"
"application","vnd.airzip.filesecure.azf","[Daniel_Mould][Gary_Clueit]"
"application","vnd.airzip.filesecure.azs","[Daniel_Mould][Gary_Clueit]"
"application","vnd.americandynamics.acc","[Gary_Sands]"
"application","vnd.amiga.ami","[Kevin_Blumberg]"
"application","vnd.amundsen.maze+xml","[Mike_Amundsen]"
"application","vnd.anser-web-certificate-issue-initiation","[Hiroyoshi_Mori]"
"application","vnd.antix.game-component","[Daniel_Shelton]"
"application","vnd.apache.thrift.binary","[Roger_Meier]"
"application","vnd.apache.thrift.compact","[Roger_Meier]"
"application","vnd.apache.thrift.json","[Roger_Meier]"
"application","vnd.api+json","[Steve_Klabnik]"
"application","vnd.apple.mpegurl","[David_Singer][Roger_Pantos]"
"application","vnd.apple.installer+xml","[Peter_Bierman]"
"application","vnd.arastra.swi","[Bill_Fenner] - OBSOLETED in favor of application/vnd.aristanetworks.swi"
"application","vnd.aristanetworks.swi","[Bill_Fenner]"
"application","vnd.artsquare","[Christopher_Smith]"
"application","vnd.astraea-software.iota","[Christopher_Snazell]"
"application","vnd.audiograph","[Horia_Cristian_Slusanschi]"
"application","vnd.autopackage","[Mike_Hearn]"
"application","vnd.avistar+xml","[Vladimir_Vysotsky]"
"application","vnd.balsamiq.bmml+xml","[Giacomo_Guilizzoni]"
"application","vnd.bekitzur-stech+json","[Jegulsky]"
"application","vnd.blueice.multipass","[Thomas_Holmstrom]"
"application","vnd.bluetooth.ep.oob","[Mike_Foley]"
"application","vnd.bluetooth.le.oob","[Mark_Powell]"
"application","vnd.bmi","[Tadashi_Gotoh]"
"application","vnd.businessobjects","[Philippe_Imoucha]"
"application","vnd.cab-jscript","[Joerg_Falkenberg]"
"application","vnd.canon-cpdl","[Shin_Muto]"
"application","vnd.canon-lips","[Shin_Muto]"
"application","vnd.cendio.thinlinc.clientconf","[Peter_Astrand]"
"application","vnd.century-systems.tcp_stream","[Shuji_Fujii]"
"application","vnd.chemdraw+xml","[Glenn_Howes]"
